#{"t_start": 1699895683.208566, "env_id": "openai_cartpole/ModifiedCartPole-v1"}
r,l,t
33.0,33,1.206015
25.0,25,1.750405
11.0,11,2.001944
13.0,13,2.295736
14.0,14,2.604528
45.0,45,3.569074
18.0,18,3.966137
13.0,13,4.257839
23.0,23,4.759103
10.0,10,4.987359
32.0,32,5.680074
15.0,15,6.016152
22.0,22,6.496995
12.0,12,6.768777
11.0,11,7.022614
12.0,12,7.29601
30.0,30,7.945727
34.0,34,8.679445
15.0,15,9.015613
51.0,51,10.106777
12.0,12,10.381161
22.0,22,10.863397
13.0,13,11.1574
44.0,44,12.101374
11.0,11,12.352764
19.0,19,12.772929
21.0,21,13.232231
26.0,26,13.799381
23.0,23,14.303022
32.0,32,14.995464
15.0,15,15.331442
13.0,13,15.62235
12.0,12,15.894105
16.0,16,16.251978
100.0,100,18.371661
13.0,13,18.664848
27.0,27,19.252245
18.0,18,19.652178
34.0,34,20.386962
11.0,11,20.638366
19.0,19,21.059102
29.0,29,21.689052
41.0,41,22.567858
27.0,27,23.155674
14.0,14,23.469894
20.0,20,23.906842
14.0,14,24.221586
12.0,12,24.494181
17.0,17,24.873412
17.0,17,25.250127
26.0,26,25.81261
25.0,25,26.355136
14.0,14,26.667156
18.0,18,27.064312
9.0,9,27.272012
17.0,17,27.646789
36.0,36,28.423266
19.0,19,28.844307
18.0,18,29.244717
14.0,14,29.555087
32.0,32,30.247668
70.0,70,31.735255
24.0,24,32.259473
17.0,17,32.63621
14.0,14,32.947002
18.0,18,33.347711
28.0,28,33.95298
14.0,14,34.267515
13.0,13,34.561768
38.0,38,35.377491
14.0,14,35.694048
15.0,15,36.032709
21.0,21,36.498237
24.0,24,37.017775
32.0,32,37.710511
22.0,22,38.193249
10.0,10,38.425782
16.0,16,38.781595
33.0,33,39.492087
13.0,13,39.787624
25.0,25,40.331559
15.0,15,40.662527
15.0,15,40.997933
14.0,14,41.312159
10.0,10,41.540563
26.0,26,42.10351
11.0,11,42.354725
25.0,25,42.900015
31.0,31,43.566918
15.0,15,43.900891
24.0,24,44.421654
21.0,21,44.885337
16.0,16,45.240342
50.0,50,46.644871
40.0,40,47.506081
16.0,16,47.863585
69.0,69,49.328711
33.0,33,50.041411
44.0,44,50.986358
43.0,43,51.906634
11.0,11,52.156428
19.0,19,52.577641
34.0,34,53.307811
11.0,11,53.561588
21.0,21,54.022062
15.0,15,54.358615
24.0,24,54.879679
27.0,27,55.467465
21.0,21,55.930231
12.0,12,56.19927
27.0,27,56.787468
23.0,23,57.289545
30.0,30,57.943287
38.0,38,58.762296
12.0,12,59.033493
14.0,14,59.348234
25.0,25,59.891906
15.0,15,60.22777
28.0,28,60.831096
12.0,12,61.105516
30.0,30,61.759226
15.0,15,62.094032
32.0,32,62.787472
32.0,32,63.486656
11.0,11,63.737881
35.0,35,64.491632
55.0,55,65.668516
37.0,37,66.466763
52.0,52,67.579585
27.0,27,68.164693
16.0,16,68.521969
10.0,10,68.75287
39.0,39,69.588263
16.0,16,69.946479
28.0,28,70.553394
34.0,34,71.279612
58.0,58,72.512507
36.0,36,73.286523
27.0,27,73.872316
64.0,64,75.231651
27.0,27,75.819189
16.0,16,76.176381
15.0,15,76.513666
15.0,15,76.850284
14.0,14,77.166298
21.0,21,77.626202
26.0,26,78.190381
25.0,25,78.734299
15.0,15,79.068495
34.0,34,79.803921
24.0,24,80.330176
27.0,27,80.915842
10.0,10,81.147135
29.0,29,81.773218
14.0,14,82.087079
16.0,16,82.442922
12.0,12,82.714847
22.0,22,83.194986
12.0,12,83.467936
26.0,26,84.031855
34.0,34,84.763375
14.0,14,85.07455
21.0,21,85.535405
30.0,30,86.184532
17.0,17,86.560614
32.0,32,87.258144
22.0,22,87.739818
9.0,9,87.949411
44.0,44,88.889978
22.0,22,89.371999
13.0,13,89.665043
33.0,33,90.660037
19.0,19,91.080083
65.0,65,92.457649
29.0,29,93.086839
56.0,56,94.285689
53.0,53,95.418029
21.0,21,95.878359
16.0,16,96.234917
65.0,65,97.617638
23.0,23,98.121182
63.0,63,99.4602
67.0,67,100.886977
31.0,31,101.558208
68.0,68,103.003736
33.0,33,103.714979
37.0,37,104.511241
57.0,57,105.725168
23.0,23,106.229175
10.0,10,106.458367
16.0,16,106.812566
24.0,24,107.340054
45.0,45,108.309279
42.0,42,109.211414
16.0,16,109.567373
38.0,38,110.384155
51.0,51,111.474132
109.0,109,113.785984
13.0,13,114.079627
47.0,47,115.083147
77.0,77,116.714642
25.0,25,117.263053
28.0,28,117.871965
36.0,36,118.64762
31.0,31,119.317011
29.0,29,119.947178
51.0,51,121.03135
14.0,14,121.343708
26.0,26,121.911367
67.0,67,123.333679
18.0,18,123.732306
28.0,28,124.337967
29.0,29,124.966962
23.0,23,125.473018
24.0,24,125.995402
17.0,17,126.37233
58.0,58,127.613268
49.0,49,128.659529
15.0,15,128.992579
24.0,24,129.514273
11.0,11,129.767781
30.0,30,130.415595
52.0,52,131.525415
86.0,86,133.349969
17.0,17,133.723809
19.0,19,134.142187
32.0,32,135.129418
113.0,113,137.515998
28.0,28,138.123151
45.0,45,139.087172
98.0,98,141.166106
56.0,56,142.359052
42.0,42,143.255071
72.0,72,144.786035
29.0,29,145.412318
89.0,89,147.298908
64.0,64,148.660688
25.0,25,149.205818
22.0,22,149.687792
57.0,57,150.902458
61.0,61,152.20059
54.0,54,153.351604
29.0,29,153.979567
151.0,151,157.171175
61.0,61,158.470073
71.0,71,159.981573
47.0,47,160.989249
31.0,31,161.657909
83.0,83,163.421315
24.0,24,163.944628
37.0,37,164.737641
46.0,46,165.725879
44.0,44,166.666572
59.0,59,167.921687
25.0,25,168.461599
22.0,22,168.94271
44.0,44,169.886282
60.0,60,171.16728
42.0,42,172.070724
91.0,91,173.996568
103.0,103,176.174541
23.0,23,176.679054
70.0,70,178.171489
18.0,18,178.569968
56.0,56,180.045094
45.0,45,181.006956
102.0,102,183.168925
132.0,132,185.955382
100.0,100,188.07287
76.0,76,189.681537
61.0,61,190.980147
53.0,53,192.110692
123.0,123,194.705224
48.0,48,195.733387
63.0,63,197.076474
121.0,121,199.631225
34.0,34,200.363585
100.0,100,202.484724
111.0,111,204.832918
150.0,150,208.000777
39.0,39,208.840152
108.0,108,211.122748
85.0,85,212.928888
123.0,123,215.536505
138.0,138,218.44652
82.0,82,220.182656
56.0,56,221.377664
448.0,448,232.00334
377.0,377,239.921189
500.0,500,250.42791
387.0,387,258.579109
500.0,500,269.085725
500.0,500,279.598533
387.0,387,287.732977
238.0,238,292.741079
497.0,497,303.180595
500.0,500,313.697113
217.0,217,318.264405
500.0,500,328.746721
242.0,242,333.828138
404.0,404,342.316699
500.0,500,352.812832
500.0,500,363.310733
500.0,500,373.810186
275.0,275,379.590307
461.0,461,389.28704
500.0,500,399.769246
269.0,269,405.428237
242.0,242,410.530695
500.0,500,421.039109
500.0,500,431.549661
304.0,304,437.933743
268.0,268,443.575793
381.0,381,451.591461
500.0,500,462.093497
469.0,469,471.931689
242.0,242,477.031657
258.0,258,482.458272
286.0,286,488.466927
500.0,500,498.963612
358.0,358,506.487617
500.0,500,516.99356
500.0,500,527.504791
463.0,463,537.210265
500.0,500,547.700603
350.0,350,555.045037
469.0,469,564.901758
243.0,243,570.015672
500.0,500,580.538054
260.0,260,586.001051
451.0,451,595.469401
500.0,500,605.989051
217.0,217,610.562897
481.0,481,620.67479
500.0,500,631.185838
468.0,468,641.033465
274.0,274,646.808896
279.0,279,652.679918
500.0,500,663.193414
500.0,500,673.694965
265.0,265,679.275089
245.0,245,684.435323
238.0,238,689.446557
397.0,397,697.788542
464.0,464,707.54152
500.0,500,718.055737
199.0,199,722.250458
500.0,500,732.757817
393.0,393,741.013263
276.0,276,746.829579
267.0,267,752.458061
220.0,220,757.087392
390.0,390,765.263482
235.0,235,770.212275
500.0,500,780.716036
239.0,239,785.748914
224.0,224,790.464998
409.0,409,799.06149
239.0,239,804.092861
227.0,227,808.862077
248.0,248,814.083773
500.0,500,824.585323
376.0,376,832.480447
256.0,256,837.861105
289.0,289,843.927825
500.0,500,854.405537
237.0,237,859.381176
500.0,500,869.871427
405.0,405,878.375456
458.0,458,887.994275
252.0,252,893.297657
286.0,286,899.317132
434.0,434,908.41839
477.0,477,918.430801
377.0,377,926.357433
473.0,473,936.288686
267.0,267,941.895898
369.0,369,949.630003
278.0,278,955.457978
244.0,244,960.602914
500.0,500,971.095469
440.0,440,980.336426
270.0,270,986.012148
373.0,373,993.850931
500.0,500,1004.331819
500.0,500,1014.807536
244.0,244,1019.936544
189.0,189,1023.961734
500.0,500,1034.471551
